Year,Component,AmbientCondPattern,EmConcept,EFA,EFA_WTW
2019,HC,"T+20°C,1-2h,2-3km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,1-2h,3-4km",petrol (4S),0.696113408,
2019,HC,"T+20°C,1-2h,3-4km",diesel,0.06630487,
2019,HC,"T+20°C,1-2h,3-4km",electricity,0,
2019,HC,"T+20°C,1-2h,3-4km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,3-4km",flex-fuel E85,0.035565373,
2019,HC,"T+20°C,1-2h,3-4km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,1-2h,4-5km",petrol (4S),0.696113408,
2019,HC,"T+20°C,1-2h,4-5km",diesel,0.066307671,
2019,HC,"T+20°C,1-2h,4-5km",electricity,0,
2019,HC,"T+20°C,1-2h,4-5km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,4-5km",flex-fuel E85,0.035565373,
2019,HC,"T+20°C,1-2h,4-5km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,1-2h,>20km",petrol (4S),0.696113408,
2019,HC,"T+20°C,1-2h,>20km",diesel,0.066307671,
2019,HC,"T+20°C,1-2h,>20km",electricity,0,
2019,HC,"T+20°C,1-2h,>20km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,>20km",flex-fuel E85,0.035565373,
2019,HC,"T+20°C,1-2h,>20km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,2-3h,0-1km",petrol (4S),0.864308119,
2019,HC,"T+20°C,2-3h,0-1km",diesel,0.037877083,
2019,HC,"T+20°C,2-3h,0-1km",electricity,0,
2019,HC,"T+20°C,2-3h,0-1km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,0-1km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,0-1km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,2-3h,1-2km",petrol (4S),0.880988777,
2019,HC,"T+20°C,2-3h,1-2km",diesel,0.079647623,
2019,HC,"T+20°C,2-3h,1-2km",electricity,0,
2019,HC,"T+20°C,2-3h,1-2km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,1-2km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,1-2km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,2-3h,2-3km",petrol (4S),0.883152962,
2019,HC,"T+20°C,2-3h,2-3km",diesel,0.083990172,
2019,HC,"T+20°C,2-3h,2-3km",electricity,0,
2019,HC,"T+20°C,2-3h,2-3km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,2-3km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,2-3km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,2-3h,3-4km",petrol (4S),0.883152962,
2019,HC,"T+20°C,2-3h,3-4km",diesel,0.084111243,
2019,HC,"T+20°C,2-3h,3-4km",electricity,0,
2019,HC,"T+20°C,2-3h,3-4km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,3-4km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,3-4km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,2-3h,4-5km",petrol (4S),0.883152962,
2019,HC,"T+20°C,2-3h,4-5km",diesel,0.084123947,
2019,HC,"T+20°C,2-3h,4-5km",electricity,0,
2019,HC,"T+20°C,2-3h,4-5km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,4-5km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,4-5km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,2-3h,>20km",petrol (4S),0.883152962,
2019,HC,"T+20°C,2-3h,>20km",diesel,0.084123947,
2019,HC,"T+20°C,2-3h,>20km",electricity,0,
2019,HC,"T+20°C,2-3h,>20km",bifuel CNG/petrol,0.033540756,
2019,HC,"T+20°C,2-3h,>20km",flex-fuel E85,0.045121472,
2019,HC,"T+20°C,2-3h,>20km",Plug-in Hybrid petrol/electric,0.139242187,
2019,HC,"T+20°C,3-4h,0-1km",petrol (4S),0.98801446,
2019,HC,"T+20°C,3-4h,0-1km",diesel,0.042311713,
2019,HC,"T+20°C,3-4h,0-1km",electricity,0,
2019,HC,"T+20°C,3-4h,0-1km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,0-1km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,0-1km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,3-4h,1-2km",petrol (4S),1.007070065,
2019,HC,"T+20°C,3-4h,1-2km",diesel,0.090151362,
2019,HC,"T+20°C,3-4h,1-2km",electricity,0,
2019,HC,"T+20°C,3-4h,1-2km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,1-2km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,1-2km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,3-4h,2-3km",petrol (4S),1.009953141,
2019,HC,"T+20°C,3-4h,2-3km",diesel,0.096023045,
2019,HC,"T+20°C,3-4h,2-3km",electricity,0,
2019,HC,"T+20°C,3-4h,2-3km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,2-3km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,2-3km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,3-4h,3-4km",petrol (4S),1.009953141,
2019,HC,"T+20°C,3-4h,3-4km",diesel,0.096183099,
2019,HC,"T+20°C,3-4h,3-4km",electricity,0,
2019,HC,"T+20°C,3-4h,3-4km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,3-4km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,3-4km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,3-4h,4-5km",petrol (4S),1.009953141,
2019,HC,"T+20°C,3-4h,4-5km",diesel,0.096202128,
2019,HC,"T+20°C,3-4h,4-5km",electricity,0,
2019,HC,"T+20°C,3-4h,4-5km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,4-5km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,4-5km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,3-4h,>20km",petrol (4S),1.009953141,
2019,HC,"T+20°C,3-4h,>20km",diesel,0.096202172,
2019,HC,"T+20°C,3-4h,>20km",electricity,0,
2019,HC,"T+20°C,3-4h,>20km",bifuel CNG/petrol,0.038356427,
2019,HC,"T+20°C,3-4h,>20km",flex-fuel E85,0.051599864,
2019,HC,"T+20°C,3-4h,>20km",Plug-in Hybrid petrol/electric,0.159234121,
2019,HC,"T+20°C,4-5h,0-1km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,0-1km",diesel,0,
2019,HC,"T+20°C,4-5h,0-1km",electricity,0,
2019,HC,"T+20°C,4-5h,0-1km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,0-1km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,0-1km",Plug-in Hybrid petrol/electric,0,
2019,HC,"T+20°C,4-5h,1-2km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,1-2km",diesel,0,
2019,HC,"T+20°C,4-5h,1-2km",electricity,0,
2019,HC,"T+20°C,4-5h,1-2km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,1-2km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,1-2km",Plug-in Hybrid petrol/electric,0,
2019,HC,"T+20°C,4-5h,2-3km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,2-3km",diesel,0,
2019,HC,"T+20°C,4-5h,2-3km",electricity,0,
2019,HC,"T+20°C,4-5h,2-3km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,2-3km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,2-3km",Plug-in Hybrid petrol/electric,0,
2019,HC,"T+20°C,4-5h,3-4km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,3-4km",diesel,0,
2019,HC,"T+20°C,4-5h,3-4km",electricity,0,
2019,HC,"T+20°C,4-5h,3-4km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,3-4km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,3-4km",Plug-in Hybrid petrol/electric,0,
2019,HC,"T+20°C,4-5h,4-5km",petrol (4S),0,
2019,HC,"T+20°C,4-5h,4-5km",diesel,0,
2019,HC,"T+20°C,4-5h,4-5km",electricity,0,
2019,HC,"T+20°C,4-5h,4-5km",bifuel CNG/petrol,0,
2019,HC,"T+20°C,4-5h,4-5km",flex-fuel E85,0,
2019,HC,"T+20°C,4-5h,4-5km",Plug-in Hybrid petrol/electric,0,
