scenario,municipality,code,cartype,cars_in_use
optimistic_PHEV,Sundbyberg,183,PHEV,11612.59071
optimistic_PHEV,Sigtuna,191,PHEV,6145.847403
optimistic_PHEV,Järfälla,123,PHEV,7654.338496
optimistic_PHEV,Huddinge,126,PHEV,11755.85919
optimistic_PHEV,Uppl. Bro,139,PHEV,2765.016414
optimistic_PHEV,Haninge,136,PHEV,7900.456749
optimistic_PHEV,Salem,128,PHEV,1344.337404
optimistic_PHEV,Botkyrka,127,PHEV,6633.500568
optimistic_PHEV,Nynäshamn,192,PHEV,2469.249676
optimistic_PHEV,Nykvarn,140,PHEV,710.6233271
optimistic_PHEV,Norrtälje,188,PHEV,5648.403962
optimistic_PHEV,Danderyd,162,EV,3661.826454
optimistic_PHEV,Solna,184,EV,6359.707016
optimistic_PHEV,Nacka,182,EV,9444.271303
optimistic_PHEV,Stockholm,180,EV,69773.0548
optimistic_PHEV,Sollentuna,163,EV,6405.322586
optimistic_PHEV,Täby,160,EV,7652.137677
optimistic_PHEV,Ekerö,125,EV,3201.127712
optimistic_PHEV,Lidingö,186,EV,4081.83492
optimistic_PHEV,Vaxholm,187,EV,1224.871256
optimistic_PHEV,Österåker,117,EV,4504.608813
optimistic_PHEV,Vallentuna,115,EV,3147.589507
optimistic_PHEV,Värmdö,120,EV,3317.355145
optimistic_PHEV,Södertälje,181,EV,7903.537357
optimistic_PHEV,Uppl. Väsby,114,EV,3595.913788
optimistic_PHEV,Tyresö,138,EV,2885.030512
optimistic_PHEV,Sundbyberg,183,EV,1630.356812
optimistic_PHEV,Sigtuna,191,EV,3278.59512
optimistic_PHEV,Järfälla,123,EV,5497.022023
optimistic_PHEV,Huddinge,126,EV,5680.82739
optimistic_PHEV,Uppl. Bro,139,EV,2135.257294
optimistic_PHEV,Haninge,136,EV,5120.024461
optimistic_PHEV,Salem,128,EV,766.3170541
optimistic_PHEV,Botkyrka,127,EV,4154.824266
optimistic_PHEV,Nynäshamn,192,EV,1309.582937
optimistic_PHEV,Nykvarn,140,EV,649.5231327
optimistic_PHEV,Norrtälje,188,EV,3472.023391
optimistic_EV,Danderyd,162,Gasoline,1638.897698
optimistic_EV,Solna,184,Gasoline,3427.679552
optimistic_EV,Nacka,182,Gasoline,7270.948348
optimistic_EV,Stockholm,180,Gasoline,52413.38601
optimistic_EV,Sollentuna,163,Gasoline,5712.510134
optimistic_EV,Täby,160,Gasoline,6977.855131
optimistic_EV,Ekerö,125,Gasoline,3083.447164
optimistic_EV,Lidingö,186,Gasoline,4126.847399
optimistic_EV,Vaxholm,187,Gasoline,1189.626696
optimistic_EV,Österåker,117,Gasoline,6163.016593
optimistic_EV,Vallentuna,115,Gasoline,4742.273452
optimistic_EV,Värmdö,120,Gasoline,5753.960222
optimistic_EV,Södertälje,181,Gasoline,13423.26854
optimistic_EV,Uppl. Väsby,114,Gasoline,7553.897818
optimistic_EV,Tyresö,138,Gasoline,6457.2612
optimistic_EV,Sundbyberg,183,Gasoline,4577.496353
optimistic_EV,Sigtuna,191,Gasoline,7570.391557
optimistic_EV,Järfälla,123,Gasoline,13721.64513
optimistic_EV,Huddinge,126,Gasoline,15579.65816
optimistic_EV,Uppl. Bro,139,Gasoline,5436.411317
optimistic_EV,Haninge,136,Gasoline,15710.79762
optimistic_EV,Salem,128,Gasoline,2542.329998
optimistic_EV,Botkyrka,127,Gasoline,14580.85371
optimistic_EV,Nynäshamn,192,Gasoline,5031.666216
optimistic_EV,Nykvarn,140,Gasoline,2512.203122
optimistic_EV,Norrtälje,188,Gasoline,14648.52802
optimistic_EV,Danderyd,162,Diesel,1553.751585
optimistic_EV,Solna,184,Diesel,4333.810972
optimistic_EV,Nacka,182,Diesel,6185.629287
optimistic_EV,Stockholm,180,Diesel,46324.02605
optimistic_EV,Sollentuna,163,Diesel,4544.582189
optimistic_EV,Täby,160,Diesel,4149.46744
optimistic_EV,Ekerö,125,Diesel,1719.675102
optimistic_EV,Lidingö,186,Diesel,2377.397611
optimistic_EV,Vaxholm,187,Diesel,796.5608671
optimistic_EV,Österåker,117,Diesel,3550.450034
optimistic_EV,Vallentuna,115,Diesel,2822.383422
optimistic_EV,Värmdö,120,Diesel,3138.290194
optimistic_EV,Södertälje,181,Diesel,8434.020922
optimistic_EV,Uppl. Väsby,114,Diesel,4087.759832
optimistic_EV,Tyresö,138,Diesel,3148.052671
optimistic_EV,Sundbyberg,183,Diesel,2036.986466
optimistic_EV,Sigtuna,191,Diesel,4538.154896
optimistic_EV,Järfälla,123,Diesel,7208.337707
optimistic_EV,Huddinge,126,Diesel,8146.871198
optimistic_EV,Uppl. Bro,139,Diesel,3239.697052
optimistic_EV,Haninge,136,Diesel,8319.398037
optimistic_EV,Salem,128,Diesel,1337.813941
optimistic_EV,Botkyrka,127,Diesel,7440.610011
optimistic_EV,Nynäshamn,192,Diesel,2970.74277
optimistic_EV,Nykvarn,140,Diesel,1386.633329
optimistic_EV,Norrtälje,188,Diesel,8614.735292
optimistic_EV,Danderyd,162,PHEV,5318.021882
optimistic_EV,Solna,184,PHEV,21558.38106
optimistic_EV,Nacka,182,PHEV,20281.82043
optimistic_EV,Stockholm,180,PHEV,121861.2404
optimistic_EV,Sollentuna,163,PHEV,11985.20101
optimistic_EV,Täby,160,PHEV,5707.296234
optimistic_EV,Ekerö,125,PHEV,1826.451533
optimistic_EV,Lidingö,186,PHEV,3653.790486
optimistic_EV,Vaxholm,187,PHEV,902.5906893
optimistic_EV,Österåker,117,PHEV,3427.795488
optimistic_EV,Vallentuna,115,PHEV,2636.112965
optimistic_EV,Värmdö,120,PHEV,3690.778979
optimistic_EV,Södertälje,181,PHEV,14724.53985
optimistic_EV,Uppl. Väsby,114,PHEV,3342.12864
optimistic_EV,Tyresö,138,PHEV,3131.97884
optimistic_EV,Sundbyberg,183,PHEV,8655.070264
optimistic_EV,Sigtuna,191,PHEV,3846.72275
optimistic_EV,Järfälla,123,PHEV,4731.286785
optimistic_EV,Huddinge,126,PHEV,7559.080767
optimistic_EV,Uppl. Bro,139,PHEV,1704.999464
optimistic_EV,Haninge,136,PHEV,5036.700262
optimistic_EV,Salem,128,PHEV,871.2923849
optimistic_EV,Botkyrka,127,PHEV,4303.236012
optimistic_EV,Nynäshamn,192,PHEV,1628.87436
optimistic_EV,Nykvarn,140,PHEV,457.8314328
optimistic_EV,Norrtälje,188,PHEV,3732.035724
optimistic_EV,Danderyd,162,EV,8630.166631
optimistic_EV,Solna,184,EV,17597.53607
optimistic_EV,Nacka,182,EV,24360.18021
optimistic_EV,Stockholm,180,EV,173787.3741
optimistic_EV,Sollentuna,163,EV,16264.03199
optimistic_EV,Täby,160,EV,17180.29475
optimistic_EV,Ekerö,125,EV,7035.73336
optimistic_EV,Lidingö,186,EV,9452.816937
optimistic_EV,Vaxholm,187,EV,2769.338943
optimistic_EV,Österåker,117,EV,10610.03865
optimistic_EV,Vallentuna,115,EV,7560.602088
optimistic_EV,Värmdö,120,EV,8294.589619
optimistic_EV,Södertälje,181,EV,20826.53985
optimistic_EV,Uppl. Väsby,114,EV,9040.270862
optimistic_EV,Tyresö,138,EV,7390.483056
optimistic_EV,Sundbyberg,183,EV,5015.17012
optimistic_EV,Sigtuna,191,EV,8469.512822
optimistic_EV,Järfälla,123,EV,14023.63549
optimistic_EV,Huddinge,126,EV,15076.05566
optimistic_EV,Uppl. Bro,139,EV,5434.233253
optimistic_EV,Haninge,136,EV,13471.85721
optimistic_EV,Salem,128,EV,2049.866865
optimistic_EV,Botkyrka,127,EV,11124.14351
optimistic_EV,Nynäshamn,192,EV,3565.472721
optimistic_EV,Nykvarn,140,EV,1727.119145
optimistic_EV,Norrtälje,188,EV,9468.130042
EV_only,Danderyd,162,Gasoline,0
EV_only,Solna,184,Gasoline,0
EV_only,Nacka,182,Gasoline,0
EV_only,Stockholm,180,Gasoline,0
EV_only,Sollentuna,163,Gasoline,0
EV_only,Täby,160,Gasoline,0
EV_only,Ekerö,125,Gasoline,0
EV_only,Lidingö,186,Gasoline,0
EV_only,Vaxholm,187,Gasoline,0
EV_only,Österåker,117,Gasoline,0
EV_only,Vallentuna,115,Gasoline,0
EV_only,Värmdö,120,Gasoline,0
EV_only,Södertälje,181,Gasoline,0
EV_only,Uppl. Väsby,114,Gasoline,0
EV_only,Tyresö,138,Gasoline,0
EV_only,Sundbyberg,183,Gasoline,0
EV_only,Sigtuna,191,Gasoline,0
EV_only,Järfälla,123,Gasoline,0
EV_only,Huddinge,126,Gasoline,0
EV_only,Uppl. Bro,139,Gasoline,0
EV_only,Haninge,136,Gasoline,0
EV_only,Salem,128,Gasoline,0
EV_only,Botkyrka,127,Gasoline,0
EV_only,Nynäshamn,192,Gasoline,0
EV_only,Nykvarn,140,Gasoline,0
EV_only,Norrtälje,188,Gasoline,0
EV_only,Danderyd,162,Diesel,0
EV_only,Solna,184,Diesel,0
EV_only,Nacka,182,Diesel,0
EV_only,Stockholm,180,Diesel,0
EV_only,Sollentuna,163,Diesel,0
EV_only,Täby,160,Diesel,0
EV_only,Ekerö,125,Diesel,0
EV_only,Lidingö,186,Diesel,0
EV_only,Vaxholm,187,Diesel,0
EV_only,Österåker,117,Diesel,0
EV_only,Vallentuna,115,Diesel,0
EV_only,Värmdö,120,Diesel,0
EV_only,Södertälje,181,Diesel,0
EV_only,Uppl. Väsby,114,Diesel,0
EV_only,Tyresö,138,Diesel,0
