year,component,cartype,temperature,lower_p_bound,upper_p_bound,lambda,M_tot
2019,NO2,Diesel,20,2,3,0.420492677,-0.437408596
2019,NO2,Gasoline,20,2,3,0.813811574,0.021256445
2019,NO2,PHEV,20,2,3,20,0.004829253
2019,NO2,Diesel,20,3,8,0.420492677,-0.437408596
2019,NO2,Gasoline,20,3,8,0.813811491,0.02202045
2019,NO2,PHEV,20,3,8,20,0.005002826
2019,NO2,Diesel,20,8,1000,0.443594733,-0.439031806
2019,NO2,Gasoline,20,8,1000,0.858596646,0.016824463
2019,NO2,PHEV,20,8,1000,20,0.00382235
2019,NOx,Diesel,20,0,1,0.645658523,-0.211922249
2019,NOx,Gasoline,20,0,1,6.012745585,0.20385927
2019,NOx,PHEV,20,0,1,20,0.046314798
2019,NOx,Diesel,20,1,2,0.463041968,-0.426007038
2019,NOx,Gasoline,20,1,2,4.968032144,0.400499344
2019,NOx,PHEV,20,1,2,20,0.090989448
2019,NOx,Diesel,20,2,3,0.416293409,-0.497876574
2019,NOx,Gasoline,20,2,3,4.692193148,0.425128937
2019,NOx,PHEV,20,2,3,20,0.09658505
2019,NOx,Diesel,20,3,8,0.416293409,-0.497876574
2019,NOx,Gasoline,20,3,8,4.692194205,0.440408975
2019,NOx,PHEV,20,3,8,20,0.100056522
2019,NOx,Diesel,20,8,1000,0.439229817,-0.499763331
2019,NOx,Gasoline,20,8,1000,4.819386271,0.33648926
2019,NOx,PHEV,20,8,1000,20,0.07644701
2019,Pb,Gasoline,20,0,1,4.020628704,2.28969E-06
2019,Pb,PHEV,20,0,1,4.681546576,5.40726E-07
2019,Pb,Gasoline,20,1,2,2.234058299,6.86906E-06
2019,Pb,PHEV,20,1,2,2.50728763,1.62218E-06
2019,Pb,Gasoline,20,2,3,1.940398871,1.14484E-05
2019,Pb,PHEV,20,2,3,2.160977215,2.70363E-06
2019,Pb,Gasoline,20,3,8,1.886578862,1.60278E-05
2019,Pb,PHEV,20,3,8,2.098693302,3.78508E-06
2019,Pb,Gasoline,20,8,1000,1.861987221,5.49744E-05
2019,Pb,PHEV,20,8,1000,2.070363636,1.29826E-05
2019,PM2.5,Diesel,20,0,1,1.11871622,0.001358413
2019,PM2.5,Diesel,20,1,2,0.743428286,0.003432218
2019,PM2.5,Diesel,20,2,3,0.637033746,0.004354425
2019,PM2.5,Diesel,20,3,8,0.625611905,0.004979618
2019,PM2.5,Diesel,20,8,1000,0.755717216,0.00746773
2019,PN,Diesel,20,0,1,0.846415869,7.0086E+11
2019,PN,Diesel,20,1,2,0.559278182,1.77082E+12
2019,PN,Diesel,20,2,3,0.480221283,2.24662E+12
2019,PN,Diesel,20,3,8,0.47177387,2.56919E+12
2019,PN,Diesel,20,8,1000,0.567589137,3.8529E+12
2019,SO2,Diesel,20,0,1,1.349439522,6.3967E-06
2019,SO2,Gasoline,20,0,1,4.020676318,4.26465E-05
2019,SO2,PHEV,20,0,1,4.681514204,1.00713E-05
2019,SO2,Diesel,20,1,2,0.81760708,1.91901E-05
2019,SO2,Gasoline,20,1,2,2.234048185,0.00012794
2019,SO2,PHEV,20,1,2,2.507283888,3.02139E-05
2019,SO2,Diesel,20,2,3,0.651879705,3.34576E-05
2019,SO2,Gasoline,20,2,3,1.940384472,0.000213233
2019,SO2,PHEV,20,2,3,2.160972244,5.03564E-05
2019,SO2,Diesel,20,3,8,0.633506606,4.6872E-05
2019,SO2,Gasoline,20,3,8,1.886575506,0.000298526
2019,SO2,PHEV,20,3,8,2.098695085,0.000070499
2019,SO2,Diesel,20,8,1000,0.624950753,0.000160814
2019,SO2,Gasoline,20,8,1000,1.861987866,0.001023926
2019,SO2,PHEV,20,8,1000,2.070355715,0.000241808
2019,BC (exhaust),Diesel,average,0,1,0.745841473,0.001403633
2019,BC (exhaust),Diesel,average,1,2,0.40484794,0.004008206
2019,BC (exhaust),Diesel,average,2,3,0.330514678,0.005306361
2019,BC (exhaust),Diesel,average,3,4,0.323347477,0.006090258
2019,BC (exhaust),Diesel,average,4,5,0.324210036,0.006637326
2019,BC (exhaust),Diesel,average,5,6,0.333325497,0.00693718
2019,BC (exhaust),Diesel,average,6,7,0.342993604,0.007232139
2019,BC (exhaust),Diesel,average,7,8,0.353155926,0.00752351
2019,BC (exhaust),Diesel,average,8,9,0.363885442,0.007810582
2019,BC (exhaust),Diesel,average,9,10,0.375435145,0.008089926
2019,BC (exhaust),Diesel,average,10,11,0.387670158,0.008364348
2019,BC (exhaust),Diesel,average,11,12,0.40069272,0.008633047
2019,BC (exhaust),Diesel,average,12,1000,0.407542998,0.008764219
2019,Benzene,Diesel,average,0,1,2.665829588,0.000438815
