code,los,speed_limit,v_avg,std_v,lower_bound,upper_bound
230033,3,30,16.117658,12.812829,12.8657787,20.4806698
230034,4,30,9.61389939,10.9287971,7.559221975,12.8657787
230035,5,30,5.50454456,6.1650733,0,7.559221975
230041,1,40,38.9292897,13.3368984,35.0789377,1000
230042,2,40,31.2285857,17.6506171,25.74781685,35.0789377
230043,3,40,20.267048,17.3671778,16.0422028,25.74781685
230044,4,40,11.8173576,13.6449288,8.73160936,16.0422028
230045,5,40,5.64586112,8.26792795,0,8.73160936
230051,1,50,42.8504737,18.0189341,39.4267684,1000
230052,2,50,36.0030631,21.1964251,29.72615305,39.4267684
230053,3,50,23.449243,22.002325,17.96377685,29.72615305
230054,4,50,12.4783107,15.1911807,9.156663685,17.96377685
230055,5,50,5.83501667,8.48019752,0,9.156663685
230061,1,60,52.0040796,14.1270595,47.52449045,1000
230062,2,60,43.0449013,17.2281972,35.6243238,47.52449045
230063,3,60,28.2037463,24.4748677,20.3410285,35.6243238
230064,4,60,12.4783107,15.1911807,9.156663685,20.3410285
230065,5,60,5.83501667,8.48019752,0,9.156663685
230071,1,70,66.2130267,16.8932839,58.2226651,1000
230072,2,70,50.2323035,21.8877301,42.24335815,58.2226651
230073,3,70,34.2544128,25.5458166,24.326091,42.24335815
230074,4,70,14.3977692,18.657522,10.11639294,24.326091
230075,5,70,5.83501667,8.48019752,0,10.11639294
230081,1,80,70.1210279,8.30882838,63.251542,1000
230082,2,80,56.3820561,21.8785952,47.36962425,63.251542
230083,3,80,38.3571924,27.0671083,26.91240525,47.36962425
230084,4,80,15.4676181,24.1193678,10.79516604,26.91240525
230085,5,80,6.12271398,11.0827923,0,10.79516604
240031,1,30,30.0674261,9.22432438,27.05839235,1000
240032,2,30,24.0493586,11.1674731,19.8207878,27.05839235
240033,3,30,15.592217,12.8719236,12.6030582,19.8207878
240034,4,30,9.61389939,10.9287971,7.559221975,12.6030582
240035,5,30,5.50454456,6.1650733,0,7.559221975
240041,1,40,37.9704137,13.6669009,34.17426955,1000
240042,2,40,30.3781254,17.3152523,25.08902585,34.17426955
240043,3,40,19.7999263,16.4917929,15.80864195,25.08902585
240044,4,40,11.8173576,13.6449288,8.73160936,15.80864195
240045,5,40,5.64586112,8.26792795,0,8.73160936
240051,1,50,41.5601482,14.5364687,38.1616987,1000
240052,2,50,34.7632492,21.963383,28.66910375,38.1616987
240053,3,50,22.5749583,21.8832833,17.5266345,28.66910375
240054,4,50,12.4783107,15.1911807,9.156663685,17.5266345
240055,5,50,5.83501667,8.48019752,0,9.156663685
240061,1,60,51.1714237,15.2046529,46.5487806,1000
240062,2,60,41.9261375,18.3193753,34.26144685,46.5487806
240063,3,60,26.5967562,22.0535257,19.53753345,34.26144685
240064,4,60,12.4783107,15.1911807,9.156663685,19.53753345
240065,5,60,5.83501667,8.48019752,0,9.156663685
250031,1,30,28.8349958,10.7053529,26.05330165,1000
250032,2,30,23.2716075,10.0914563,19.20138135,26.05330165
250033,3,30,15.1311552,13.4103784,12.3725273,19.20138135
250034,4,30,9.61389939,10.9287971,7.559221975,12.3725273
250035,5,30,5.50454456,6.1650733,0,7.559221975
250041,1,40,35.5105032,15.2637371,32.5504868,1000
250042,2,40,29.5904704,17.6620345,24.38405485,32.5504868
250043,3,40,19.1776393,17.9553452,15.49749845,24.38405485
250044,4,40,11.8173576,13.6449288,8.73160936,15.49749845
250045,5,40,5.64586112,8.26792795,0,8.73160936
250051,1,50,40.5286806,21.0404979,37.06215165,1000
250052,2,50,33.5956227,21.9914026,27.6736856,37.06215165
250053,3,50,21.7517485,22.0148114,17.1150296,27.6736856
250054,4,50,12.4783107,15.1911807,9.156663685,17.1150296
250055,5,50,5.83501667,8.48019752,0,9.156663685
