zone_id,mn_code,municipality
718854,188,Norrtälje
718855,188,Norrtälje
718856,188,Norrtälje
718857,188,Norrtälje
718858,188,Norrtälje
718859,188,Norrtälje
718860,188,Norrtälje
718861,188,Norrtälje
718862,188,Norrtälje
718865,188,Norrtälje
718867,188,Norrtälje
718811,188,Norrtälje
718812,188,Norrtälje
718813,188,Norrtälje
718814,188,Norrtälje
718846,188,Norrtälje
718847,188,Norrtälje
718848,188,Norrtälje
718849,188,Norrtälje
718863,188,Norrtälje
718864,188,Norrtälje
719101,191,Sigtuna
719102,191,Sigtuna
719103,191,Sigtuna
719104,191,Sigtuna
719105,191,Sigtuna
719106,191,Sigtuna
719107,191,Sigtuna
719108,191,Sigtuna
719131,191,Sigtuna
719109,191,Sigtuna
719110,191,Sigtuna
719111,191,Sigtuna
719112,191,Sigtuna
719113,191,Sigtuna
719114,191,Sigtuna
719115,191,Sigtuna
719116,191,Sigtuna
719117,191,Sigtuna
719118,191,Sigtuna
719119,191,Sigtuna
719120,191,Sigtuna
719121,191,Sigtuna
719122,191,Sigtuna
719123,191,Sigtuna
719124,191,Sigtuna
719125,191,Sigtuna
719126,191,Sigtuna
719127,191,Sigtuna
719128,191,Sigtuna
719129,191,Sigtuna
719130,191,Sigtuna
719132,191,Sigtuna
719133,191,Sigtuna
719134,191,Sigtuna
719135,191,Sigtuna
719136,191,Sigtuna
719137,191,Sigtuna
719138,191,Sigtuna
719139,191,Sigtuna
719140,191,Sigtuna
719141,191,Sigtuna
719142,191,Sigtuna
719143,191,Sigtuna
719144,191,Sigtuna
719215,192,Nynäshamn
719203,192,Nynäshamn
719204,192,Nynäshamn
719205,192,Nynäshamn
719208,192,Nynäshamn
719209,192,Nynäshamn
719210,192,Nynäshamn
719211,192,Nynäshamn
719212,192,Nynäshamn
719213,192,Nynäshamn
719218,192,Nynäshamn
719220,192,Nynäshamn
719221,192,Nynäshamn
730501,305,Håbo
730504,305,Håbo
730505,305,Håbo
730506,305,Håbo
730507,305,Håbo
730508,305,Håbo
730509,305,Håbo
730510,305,Håbo
730511,305,Håbo
730512,305,Håbo
730513,305,Håbo
730514,305,Håbo
730515,305,Håbo
730516,305,Håbo
730517,305,Håbo
730518,305,Håbo
730519,305,Håbo
738132,305,Håbo
731902,319,Älvkarleby
731903,319,Älvkarleby
731904,319,Älvkarleby
